年份,轮次,处理,Block,重复,干重(g)
2019,牧前,中牧（6天）,G16,1,0.22
2019,牧前,中牧（6天）,G16,1,0.9
2019,牧前,中牧（6天）,G16,1,0.38
2019,牧前,中牧（6天）,G16,2,16.31
2019,牧前,中牧（6天）,G16,2,0.27
2019,牧前,中牧（6天）,G16,2,0.17
2019,牧前,中牧（6天）,G16,2,0.01
2019,牧前,中牧（6天）,G16,2,0.11
2019,牧前,中牧（6天）,G16,2,0.01
2019,牧前,中牧（6天）,G16,2,0.01
2019,牧前,中牧（6天）,G16,2,0.25
2019,牧前,中牧（6天）,G16,3,25.64
2019,牧前,中牧（6天）,G16,3,0.01
2019,牧前,中牧（6天）,G16,3,0.19
2019,牧前,中牧（6天）,G16,3,0.01
2019,牧前,中牧（6天）,G16,3,0.61
2019,牧前,中牧（6天）,G16,4,29.37
2019,牧前,中牧（6天）,G16,4,0.06
2019,牧前,中牧（6天）,G16,4,0.12
2019,牧前,中牧（6天）,G16,4,0.7
2019,牧前,中牧（6天）,G16,5,23.2
2019,牧前,中牧（6天）,G16,5,5
2019,牧前,中牧（6天）,G16,5,0.1
2019,牧前,中牧（6天）,G16,5,0.26
2019,牧前,中牧（6天）,G16,5,0.03
2019,牧前,无牧（0天）,G17,1,2.01
2019,牧前,无牧（0天）,G17,1,4.58
2019,牧前,无牧（0天）,G17,1,0.47
2019,牧前,无牧（0天）,G17,1,0.31
2019,牧前,无牧（0天）,G17,2,5.72
2019,牧前,无牧（0天）,G17,2,0.79
2019,牧前,无牧（0天）,G17,2,0.59
2019,牧前,无牧（0天）,G17,2,2.58
2019,牧前,无牧（0天）,G17,3,0.32
2019,牧前,无牧（0天）,G17,3,14.89
2019,牧前,无牧（0天）,G17,3,0.96
2019,牧前,无牧（0天）,G17,3,0.01
2019,牧前,无牧（0天）,G17,3,0.09
2019,牧前,无牧（0天）,G17,4,2.57
2019,牧前,无牧（0天）,G17,4,16.74
2019,牧前,无牧（0天）,G17,4,8.31
2019,牧前,无牧（0天）,G17,4,1.58
2019,牧前,无牧（0天）,G17,4,1.25
2019,牧前,无牧（0天）,G17,5,1.21
2019,牧前,无牧（0天）,G17,5,11.46
2019,牧前,无牧（0天）,G17,5,1.01
2019,牧前,无牧（0天）,G17,5,0.95
2019,牧前,无牧（0天）,G17,5,0.09
2019,牧前,轻牧（3天）,G18,1,14.83
2019,牧前,轻牧（3天）,G18,1,5.02
2019,牧前,轻牧（3天）,G18,1,0.1
2019,牧前,轻牧（3天）,G18,1,2.48
2019,牧前,轻牧（3天）,G18,2,9.73
2019,牧前,轻牧（3天）,G18,2,2.61
2019,牧前,轻牧（3天）,G18,2,3.72
2019,牧前,轻牧（3天）,G18,2,6.76
2019,牧前,轻牧（3天）,G18,2,0.08
2019,牧前,轻牧（3天）,G18,3,13.51
2019,牧前,轻牧（3天）,G18,3,1.25
2019,牧前,轻牧（3天）,G18,3,0.59
2019,牧前,轻牧（3天）,G18,3,3.5
2019,牧前,轻牧（3天）,G18,4,0.83
2019,牧前,轻牧（3天）,G18,4,6.73
2019,牧前,轻牧（3天）,G18,4,3.33
2019,牧前,轻牧（3天）,G18,4,6.92
2019,牧前,轻牧（3天）,G18,4,0.14
2019,牧前,轻牧（3天）,G18,4,0.01
2019,牧前,轻牧（3天）,G18,5,11.64
2019,牧前,轻牧（3天）,G18,5,3.41
2019,牧前,轻牧（3天）,G18,5,2.57
2019,牧前,轻牧（3天）,G18,5,1.42
2019,牧前,轻牧（3天）,G18,5,0.01
2019,牧前,无牧（0天）,G19,1,0.23
2019,牧前,无牧（0天）,G19,1,10.67
2019,牧前,无牧（0天）,G19,1,2.02
2019,牧前,无牧（0天）,G19,1,1.79
2019,牧前,无牧（0天）,G19,1,2.93
2019,牧前,无牧（0天）,G19,1,0.33
2019,牧前,无牧（0天）,G19,2,0.93
2019,牧前,无牧（0天）,G19,2,8.08
2019,牧前,无牧（0天）,G19,2,1.39
2019,牧前,无牧（0天）,G19,2,0.44
2019,牧前,无牧（0天）,G19,3,0.22
2019,牧前,无牧（0天）,G19,3,10.51
2019,牧前,无牧（0天）,G19,3,0.84
2019,牧前,无牧（0天）,G19,3,0.01
2019,牧前,无牧（0天）,G19,3,2.14
2019,牧前,无牧（0天）,G19,3,0.68
2019,牧前,无牧（0天）,G19,4,0.87
2019,牧前,无牧（0天）,G19,4,5.2
2019,牧前,无牧（0天）,G19,4,1.3
2019,牧前,无牧（0天）,G19,4,0.89
2019,牧前,无牧（0天）,G19,4,19.46
2019,牧前,无牧（0天）,G19,4,0.29
2019,牧前,无牧（0天）,G19,5,0.13
2019,牧前,无牧（0天）,G19,5,7.47
2019,牧前,无牧（0天）,G19,5,0.72
2019,牧前,无牧（0天）,G19,5,0.4
2019,牧前,无牧（0天）,G19,5,0.06
2019,牧前,重牧（12天）,G20,1,21.61
2019,牧前,重牧（12天）,G20,1,0.07
2019,牧前,重牧（12天）,G20,1,0.01
2019,牧前,重牧（12天）,G20,1,0.33
2019,牧前,重牧（12天）,G20,1,0.25
2019,牧前,重牧（12天）,G20,2,26.5
2019,牧前,重牧（12天）,G20,2,0.08
2019,牧前,重牧（12天）,G20,3,20.07
2019,牧前,重牧（12天）,G20,3,0.05
2019,牧前,重牧（12天）,G20,3,0.01
2019,牧前,重牧（12天）,G20,3,0.3
2019,牧前,重牧（12天）,G20,4,7.61
2019,牧前,重牧（12天）,G20,4,2.15
2019,牧前,重牧（12天）,G20,4,0.01
2019,牧前,重牧（12天）,G20,4,0.03
2019,牧前,重牧（12天）,G20,4,0.04
2019,牧前,重牧（12天）,G20,5,12.56
2019,牧前,重牧（12天）,G20,5,0.01
2019,牧前,重牧（12天）,G20,5,0.13
2019,牧前,重牧（12天）,G20,5,0.56
2019,牧前,重牧（12天）,G20,5,0.04
2019,牧前,无牧（0天）,G21,1,1.3
2019,牧前,无牧（0天）,G21,1,1.98
2019,牧前,无牧（0天）,G21,1,5.92
2019,牧前,无牧（0天）,G21,1,0.09
2019,牧前,无牧（0天）,G21,1,4.42
2019,牧前,无牧（0天）,G21,2,2.2
2019,牧前,无牧（0天）,G21,2,1.2
2019,牧前,无牧（0天）,G21,2,4.92
2019,牧前,无牧（0天）,G21,2,0.57
2019,牧前,无牧（0天）,G21,2,3.78
2019,牧前,无牧（0天）,G21,2,0.15
2019,牧前,无牧（0天）,G21,2,0.77
2019,牧前,无牧（0天）,G21,2,0.01
2019,牧前,无牧（0天）,G21,3,1.56
2019,牧前,无牧（0天）,G21,3,4.57
2019,牧前,无牧（0天）,G21,3,3.71
2019,牧前,无牧（0天）,G21,3,0.97
2019,牧前,无牧（0天）,G21,3,0.05
2019,牧前,无牧（0天）,G21,4,1.96
2019,牧前,无牧（0天）,G21,4,1.61
2019,牧前,无牧（0天）,G21,4,1.83
2019,牧前,无牧（0天）,G21,4,0.34
2019,牧前,无牧（0天）,G21,4,10.09
2019,牧前,无牧（0天）,G21,5,0.28
2019,牧前,无牧（0天）,G21,5,3.81
2019,牧前,无牧（0天）,G21,5,3.37
2019,牧前,无牧（0天）,G21,5,0.1
2019,牧前,无牧（0天）,G21,5,0.17
2019,第一轮牧后,轻牧（3天）,G6,1,76.77
2019,第一轮牧后,轻牧（3天）,G6,1,1.63
2019,第一轮牧后,轻牧（3天）,G6,1,0.05
2019,第一轮牧后,轻牧（3天）,G6,1,8.34
2019,第一轮牧后,轻牧（3天）,G6,1,1.97
2019,第一轮牧后,轻牧（3天）,G6,1,0.77
2019,第一轮牧后,轻牧（3天）,G6,2,54.47
2019,第一轮牧后,轻牧（3天）,G6,2,3.15
2019,第一轮牧后,轻牧（3天）,G6,2,1.77
2019,第一轮牧后,轻牧（3天）,G6,2,2.17
2019,第一轮牧后,轻牧（3天）,G6,2,9.28
2019,第一轮牧后,轻牧（3天）,G6,2,2.53
2019,第一轮牧后,轻牧（3天）,G6,3,56.81
2019,第一轮牧后,轻牧（3天）,G6,3,0.86
2019,第一轮牧后,轻牧（3天）,G6,3,3.4
2019,第一轮牧后,轻牧（3天）,G6,3,7.63
2019,第一轮牧后,轻牧（3天）,G6,3,0.73
2019,第一轮牧后,轻牧（3天）,G6,3,0.25
2019,第一轮牧后,轻牧（3天）,G6,3,0.39
2019,第一轮牧后,轻牧（3天）,G6,4,84.68
2019,第一轮牧后,轻牧（3天）,G6,4,2.9
2019,第一轮牧后,轻牧（3天）,G6,4,0.29
2019,第一轮牧后,轻牧（3天）,G6,4,1.49
2019,第一轮牧后,轻牧（3天）,G6,4,0.58
2019,第一轮牧后,轻牧（3天）,G6,4,0.15
2019,第一轮牧后,轻牧（3天）,G6,5,36.81
2019,第一轮牧后,轻牧（3天）,G6,5,15.53
2019,第一轮牧后,轻牧（3天）,G6,5,1.41
2019,第一轮牧后,轻牧（3天）,G6,5,1.3
2019,第一轮牧后,轻牧（3天）,G6,5,0.46
2019,第一轮牧后,中牧（6天）,G8,1,54.88
2019,第一轮牧后,中牧（6天）,G8,1,10.75
2019,第一轮牧后,中牧（6天）,G8,1,0.76
2019,第一轮牧后,中牧（6天）,G8,1,8.28
2019,第一轮牧后,中牧（6天）,G8,1,5.26
2019,第一轮牧后,中牧（6天）,G8,1,0.17
2019,第一轮牧后,中牧（6天）,G8,1,0.01
2019,第一轮牧后,中牧（6天）,G8,2,59.98
2019,第一轮牧后,中牧（6天）,G8,2,0.27
2019,第一轮牧后,中牧（6天）,G8,2,0.1
2019,第一轮牧后,中牧（6天）,G8,2,3.77
2019,第一轮牧后,中牧（6天）,G8,2,1.83
2019,第一轮牧后,中牧（6天）,G8,3,59.52
2019,第一轮牧后,中牧（6天）,G8,3,1.72
2019,第一轮牧后,中牧（6天）,G8,3,0.27
2019,第一轮牧后,中牧（6天）,G8,3,7.71
2019,第一轮牧后,中牧（6天）,G8,4,60.25
2019,第一轮牧后,中牧（6天）,G8,4,5.42
2019,第一轮牧后,中牧（6天）,G8,4,0.18
2019,第一轮牧后,中牧（6天）,G8,4,2.62
2019,第一轮牧后,中牧（6天）,G8,4,0.66
2019,第一轮牧后,中牧（6天）,G8,4,0.04
2019,第一轮牧后,中牧（6天）,G8,5,59.4
2019,第一轮牧后,中牧（6天）,G8,5,3.66
2019,第一轮牧后,中牧（6天）,G8,5,0.35
2019,第一轮牧后,中牧（6天）,G8,5,0.51
2019,第一轮牧后,中牧（6天）,G8,5,0.06
2019,第一轮牧后,重牧（12天）,G9,1,35.36
2019,第一轮牧后,重牧（12天）,G9,1,3.2
2019,第一轮牧后,重牧（12天）,G9,1,1.5
2019,第一轮牧后,重牧（12天）,G9,2,55.4
2019,第一轮牧后,重牧（12天）,G9,2,0.84
2019,第一轮牧后,重牧（12天）,G9,2,0.5
2019,第一轮牧后,重牧（12天）,G9,2,0.01
2019,第一轮牧后,重牧（12天）,G9,2,0.01
2019,第一轮牧后,重牧（12天）,G9,3,28.61
2019,第一轮牧后,重牧（12天）,G9,3,2.11
2019,第一轮牧后,重牧（12天）,G9,3,0.1
2019,第一轮牧后,重牧（12天）,G9,3,0.05
2019,第一轮牧后,重牧（12天）,G9,3,0.05
2019,第一轮牧后,重牧（12天）,G9,3,1.21
2019,第一轮牧后,重牧（12天）,G9,4,49.94
2019,第一轮牧后,重牧（12天）,G9,4,0.38
2019,第一轮牧后,重牧（12天）,G9,4,0.05
2019,第一轮牧后,重牧（12天）,G9,4,0.15
2019,第一轮牧后,重牧（12天）,G9,5,39.88
2019,第一轮牧后,重牧（12天）,G9,5,7.75
2019,第一轮牧后,重牧（12天）,G9,5,2.23
2019,第一轮牧后,重牧（12天）,G9,5,0.12
2019,第一轮牧后,重牧（12天）,G9,5,0.11
2019,第一轮牧后,中牧（6天）,G11,1,68.76
2019,第一轮牧后,中牧（6天）,G11,1,0.43
2019,第一轮牧后,中牧（6天）,G11,1,0.05
2019,第一轮牧后,中牧（6天）,G11,1,7.04
2019,第一轮牧后,中牧（6天）,G11,1,0.05
2019,第一轮牧后,中牧（6天）,G11,1,0.01
2019,第一轮牧后,中牧（6天）,G11,2,44.62
2019,第一轮牧后,中牧（6天）,G11,2,9.19
2019,第一轮牧后,中牧（6天）,G11,2,1.07
2019,第一轮牧后,中牧（6天）,G11,2,0.06
2019,第一轮牧后,中牧（6天）,G11,2,0.04
2019,第一轮牧后,中牧（6天）,G11,3,32.91
2019,第一轮牧后,中牧（6天）,G11,3,0.9
2019,第一轮牧后,中牧（6天）,G11,3,1.16
2019,第一轮牧后,中牧（6天）,G11,3,7.17
2019,第一轮牧后,中牧（6天）,G11,3,0.1
2019,第一轮牧后,中牧（6天）,G11,4,78.17
2019,第一轮牧后,中牧（6天）,G11,4,2.52
2019,第一轮牧后,中牧（6天）,G11,4,0.06
2019,第一轮牧后,中牧（6天）,G11,4,6.19
2019,第一轮牧后,中牧（6天）,G11,4,0.05
2019,第一轮牧后,中牧（6天）,G11,5,64.22
2019,第一轮牧后,中牧（6天）,G11,5,1.77
2019,第一轮牧后,中牧（6天）,G11,5,0.3
2019,第一轮牧后,中牧（6天）,G11,5,3.41
2019,第一轮牧后,中牧（6天）,G11,5,1.74
2019,第一轮牧后,中牧（6天）,G11,5,0.07
2019,第一轮牧后,中牧（6天）,G11,5,0.01
2019,第一轮牧后,轻牧（3天）,G12,1,28.66
2019,第一轮牧后,轻牧（3天）,G12,1,27.55
2019,第一轮牧后,轻牧（3天）,G12,1,1.38
2019,第一轮牧后,轻牧（3天）,G12,1,17.96
2019,第一轮牧后,轻牧（3天）,G12,1,0.07
2019,第一轮牧后,轻牧（3天）,G12,1,0.1
2019,第一轮牧后,轻牧（3天）,G12,1,3.06
2019,第一轮牧后,轻牧（3天）,G12,2,23.47
2019,第一轮牧后,轻牧（3天）,G12,2,4.38
2019,第一轮牧后,轻牧（3天）,G12,2,11.29
2019,第一轮牧后,轻牧（3天）,G12,2,0.6
2019,第一轮牧后,轻牧（3天）,G12,3,18.17
2019,第一轮牧后,轻牧（3天）,G12,3,34.41
2019,第一轮牧后,轻牧（3天）,G12,3,20.8
2019,第一轮牧后,轻牧（3天）,G12,3,2.66
2019,第一轮牧后,轻牧（3天）,G12,3,1.27
2019,第一轮牧后,轻牧（3天）,G12,3,1.01
2019,第一轮牧后,轻牧（3天）,G12,3,0.01
2019,第一轮牧后,轻牧（3天）,G12,3,0.01
2019,第一轮牧后,轻牧（3天）,G12,4,20.79
2019,第一轮牧后,轻牧（3天）,G12,4,18.82
2019,第一轮牧后,轻牧（3天）,G12,4,0.06
2019,第一轮牧后,轻牧（3天）,G12,4,10.87
2019,第一轮牧后,轻牧（3天）,G12,4,0.19
2019,第一轮牧后,轻牧（3天）,G12,5,52.16
2019,第一轮牧后,轻牧（3天）,G12,5,8.86
2019,第一轮牧后,轻牧（3天）,G12,5,2.45
2019,第一轮牧后,轻牧（3天）,G12,5,0.09
2019,第一轮牧后,轻牧（3天）,G12,5,0.04
2019,第一轮牧后,重牧（12天）,G13,1,28.11
2019,第一轮牧后,重牧（12天）,G13,1,0.48
2019,第一轮牧后,重牧（12天）,G13,1,0.05
2019,第一轮牧后,重牧（12天）,G13,1,2.43
2019,第一轮牧后,重牧（12天）,G13,1,0.01
2019,第一轮牧后,重牧（12天）,G13,1,0.01
2019,第一轮牧后,重牧（12天）,G13,2,23.69
2019,第一轮牧后,重牧（12天）,G13,2,2.09
2019,第一轮牧后,重牧（12天）,G13,2,2.12
2019,第一轮牧后,重牧（12天）,G13,2,0.05
2019,第一轮牧后,重牧（12天）,G13,3,38.7
2019,第一轮牧后,重牧（12天）,G13,3,0.32
2019,第一轮牧后,重牧（12天）,G13,3,0.1
2019,第一轮牧后,重牧（12天）,G13,3,2.62
2019,第一轮牧后,重牧（12天）,G13,3,0.1
2019,第一轮牧后,重牧（12天）,G13,3,0.62
2019,第一轮牧后,重牧（12天）,G13,4,54.53
2019,第一轮牧后,重牧（12天）,G13,4,2.41
2019,第一轮牧后,重牧（12天）,G13,4,0.05
2019,第一轮牧后,重牧（12天）,G13,4,2.95
2019,第一轮牧后,重牧（12天）,G13,4,0.32
2019,第一轮牧后,重牧（12天）,G13,5,47.08
2019,第一轮牧后,重牧（12天）,G13,5,1.02
2019,第一轮牧后,重牧（12天）,G13,5,0.01
2019,第一轮牧后,重牧（12天）,G13,5,0.43
2019,第一轮牧后,重牧（12天）,G13,5,0.01
2019,第一轮牧后,中牧（6天）,G16,1,70.17
2019,第一轮牧后,中牧（6天）,G16,1,0.95
2019,第一轮牧后,中牧（6天）,G16,1,0.05
2019,第一轮牧后,中牧（6天）,G16,1,0.13
2019,第一轮牧后,中牧（6天）,G16,1,0.01
2019,第一轮牧后,中牧（6天）,G16,2,33.27
2019,第一轮牧后,中牧（6天）,G16,2,0.18
2019,第一轮牧后,中牧（6天）,G16,2,0.21
2019,第一轮牧后,中牧（6天）,G16,2,0.5
2019,第一轮牧后,中牧（6天）,G16,2,0.29
2019,第一轮牧后,中牧（6天）,G16,3,58.25
2019,第一轮牧后,中牧（6天）,G16,3,0.9
2019,第一轮牧后,中牧（6天）,G16,3,0.07
2019,第一轮牧后,中牧（6天）,G16,3,0.75
2019,第一轮牧后,中牧（6天）,G16,3,1.05
2019,第一轮牧后,中牧（6天）,G16,4,80.47
2019,第一轮牧后,中牧（6天）,G16,4,0.47
2019,第一轮牧后,中牧（6天）,G16,4,0.1
2019,第一轮牧后,中牧（6天）,G16,4,0.07
2019,第一轮牧后,中牧（6天）,G16,4,0.01
2019,第一轮牧后,中牧（6天）,G16,5,80.93
2019,第一轮牧后,中牧（6天）,G16,5,1.69
2019,第一轮牧后,中牧（6天）,G16,5,0.43
2019,第一轮牧后,无牧（0天）,G17,1,4.36
2019,第一轮牧后,无牧（0天）,G17,1,46.17
2019,第一轮牧后,无牧（0天）,G17,1,25.73
2019,第一轮牧后,无牧（0天）,G17,1,6.11
2019,第一轮牧后,无牧（0天）,G17,1,0.1
2019,第一轮牧后,无牧（0天）,G17,1,0.16
2019,第一轮牧后,无牧（0天）,G17,2,42.58
2019,第一轮牧后,无牧（0天）,G17,2,18.31
2019,第一轮牧后,无牧（0天）,G17,2,7.91
2019,第一轮牧后,无牧（0天）,G17,2,7.43
2019,第一轮牧后,无牧（0天）,G17,2,0.88
2019,第一轮牧后,无牧（0天）,G17,2,1.17
2019,第一轮牧后,无牧（0天）,G17,3,6.31
2019,第一轮牧后,无牧（0天）,G17,3,38.81
2019,第一轮牧后,无牧（0天）,G17,3,80.03
2019,第一轮牧后,无牧（0天）,G17,3,7.79
2019,第一轮牧后,无牧（0天）,G17,3,0.62
2019,第一轮牧后,无牧（0天）,G17,4,3.55
2019,第一轮牧后,无牧（0天）,G17,4,45.06
2019,第一轮牧后,无牧（0天）,G17,4,30.06
2019,第一轮牧后,无牧（0天）,G17,4,0.96
2019,第一轮牧后,无牧（0天）,G17,4,12.58
2019,第一轮牧后,无牧（0天）,G17,4,0.1
2019,第一轮牧后,无牧（0天）,G17,5,75.82
2019,第一轮牧后,无牧（0天）,G17,5,29.06
2019,第一轮牧后,无牧（0天）,G17,5,2.17
2019,第一轮牧后,无牧（0天）,G17,5,10.56
2019,第一轮牧后,轻牧（3天）,G18,1,38.99
2019,第一轮牧后,轻牧（3天）,G18,1,18.47
2019,第一轮牧后,轻牧（3天）,G18,1,0.16
2019,第一轮牧后,轻牧（3天）,G18,1,4.21
2019,第一轮牧后,轻牧（3天）,G18,1,7.26
2019,第一轮牧后,轻牧（3天）,G18,1,0.1
2019,第一轮牧后,轻牧（3天）,G18,1,0.01
2019,第一轮牧后,轻牧（3天）,G18,2,21.04
2019,第一轮牧后,轻牧（3天）,G18,2,9.85
2019,第一轮牧后,轻牧（3天）,G18,2,0.19
2019,第一轮牧后,轻牧（3天）,G18,2,11.8
2019,第一轮牧后,轻牧（3天）,G18,2,5.1
2019,第一轮牧后,轻牧（3天）,G18,2,0.57
2019,第一轮牧后,轻牧（3天）,G18,2,0.18
2019,第一轮牧后,轻牧（3天）,G18,3,36.2
2019,第一轮牧后,轻牧（3天）,G18,3,5.25
2019,第一轮牧后,轻牧（3天）,G18,3,0.35
2019,第一轮牧后,轻牧（3天）,G18,3,6.7
2019,第一轮牧后,轻牧（3天）,G18,3,3.19
2019,第一轮牧后,轻牧（3天）,G18,4,39.88
2019,第一轮牧后,轻牧（3天）,G18,4,4.06
2019,第一轮牧后,轻牧（3天）,G18,4,0.74
2019,第一轮牧后,轻牧（3天）,G18,4,12.28
2019,第一轮牧后,轻牧（3天）,G18,4,7.38
2019,第一轮牧后,轻牧（3天）,G18,4,0.05
2019,第一轮牧后,轻牧（3天）,G18,5,43.77
2019,第一轮牧后,轻牧（3天）,G18,5,9.29
2019,第一轮牧后,轻牧（3天）,G18,5,0.39
2019,第一轮牧后,轻牧（3天）,G18,5,5.26
2019,第一轮牧后,轻牧（3天）,G18,5,0.26
2019,第一轮牧后,轻牧（3天）,G18,5,0.28
2019,第一轮牧后,无牧（0天）,G19,1,4.29
2019,第一轮牧后,无牧（0天）,G19,1,32.65
2019,第一轮牧后,无牧（0天）,G19,1,28.23
2019,第一轮牧后,无牧（0天）,G19,1,4.78
2019,第一轮牧后,无牧（0天）,G19,1,28
